time,o,h,l,c,volume
2020-01-30T20:35:00.306352120Z,1.1035,1.1035,1.1035,1.1035,
2020-01-30T20:35:04.674306619Z,1.10349,1.1035,1.10349,1.1035,
2020-01-30T20:35:11.449219887Z,1.103485,1.103495,1.103485,1.103495,
2020-01-30T20:35:30.626296832Z,1.103495,1.10353,1.103495,1.10353,
2020-01-30T20:35:35.920362279Z,1.10353,1.10353,1.103515,1.103515,
2020-01-30T20:35:47.154808299Z,1.1035,1.103575,1.1035,1.103575,
2020-01-30T20:35:55.269711697Z,1.103585,1.103585,1.103585,1.103585,
2020-01-30T20:36:00.407709428Z,1.103585,1.1036,1.103585,1.1036,
2020-01-30T20:36:05.565571774Z,1.103605,1.10362,1.10359,1.10359,
2020-01-30T20:36:09.139765731Z,1.10359,1.10362,1.10359,1.10362,
2020-01-30T20:36:17.274398835Z,1.103635,1.103635,1.103605,1.103615,
2020-01-30T20:36:21.130485543Z,1.103615,1.103615,1.103615,1.103615,
2020-01-30T20:36:28.968890119Z,1.103615,1.103615,1.10358,1.10358,
2020-01-30T20:36:33.676457989Z,1.10358,1.10358,1.10357,1.10357,
2020-01-30T20:36:40.723139726Z,1.10357,1.10357,1.10357,1.10357,
2020-01-30T20:36:46.344735277Z,1.10357,1.10357,1.10357,1.10357,
2020-01-30T20:36:52.511098084Z,1.10357,1.10358,1.10357,1.10358,
2020-01-30T20:36:57.107915661Z,1.10358,1.10358,1.10357,1.10358,
2020-01-30T20:37:05.558218149Z,1.10358,1.10358,1.10358,1.10358,
2020-01-30T20:37:16.223897339Z,1.10358,1.10359,1.10358,1.10359,
2020-01-30T20:37:23.351849710Z,1.10363,1.10363,1.103585,1.103585,
2020-01-30T20:37:27.936112391Z,1.103585,1.103595,1.103585,1.103595,
2020-01-30T20:37:33.309119024Z,1.103595,1.103595,1.103595,1.103595,
2020-01-30T20:37:39.391908382Z,1.10364,1.10365,1.10364,1.10365,
2020-01-30T20:37:45.406845692Z,1.10365,1.10365,1.10365,1.10365,
2020-01-30T20:37:53.942435979Z,1.10366,1.10366,1.10366,1.10366,
2020-01-30T20:38:01.106896002Z,1.10366,1.10366,1.10366,1.10366,
2020-01-30T20:38:06.260175975Z,1.10366,1.10366,1.10366,1.10366,
2020-01-30T20:38:10.124810894Z,1.10366,1.10366,1.10366,1.10366,
2020-01-30T20:38:16.127025333Z,1.103695,1.103705,1.103695,1.103695,
2020-01-30T20:38:24.149449373Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:38:28.263593903Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:38:34.265968980Z,1.103685,1.1037,1.103685,1.1037,
2020-01-30T20:38:40.187789707Z,1.1037,1.10372,1.103695,1.103695,
2020-01-30T20:38:49.642108745Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:38:57.746835574Z,1.103695,1.103695,1.103695,1.103695,
2020-01-30T20:39:02.826452436Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:39:06.882229509Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:39:14.953800095Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:39:20.015482829Z,1.103685,1.103685,1.103685,1.103685,
2020-01-30T20:39:25.006766279Z,1.103685,1.103685,1.103675,1.103675,
2020-01-30T20:39:31.054422881Z,1.10359,1.103595,1.10359,1.103595,
2020-01-30T20:39:43.334069652Z,1.103595,1.10362,1.103595,1.10362,
2020-01-30T20:39:48.400118505Z,1.10362,1.10362,1.103595,1.103595,
2020-01-30T20:39:53.166372449Z,1.103595,1.103605,1.103595,1.103605,
2020-01-30T20:39:59.185017261Z,1.103605,1.103605,1.103585,1.103585,
2020-01-30T20:40:05.245902103Z,1.103585,1.103585,1.103585,1.103585,
2020-01-30T20:40:09.971188213Z,1.103595,1.103595,1.103585,1.103585,
2020-01-30T20:40:12.795537032Z,1.10358,1.10358,1.10357,1.10357,
2020-01-30T20:40:24.929852166Z,1.103545,1.103545,1.103525,1.103535,
2020-01-30T20:40:28.509918690Z,1.103535,1.103535,1.103535,1.103535,
2020-01-30T20:41:04.608461357Z,1.10349,1.10349,1.10349,1.10349,
2020-01-30T20:41:10.844121269Z,1.10349,1.10355,1.10349,1.10354,
2020-01-30T20:41:22.935917641Z,1.103545,1.103545,1.103525,1.103525,
2020-01-30T20:41:27.832313442Z,1.103525,1.103545,1.103525,1.103545,
2020-01-30T20:41:36.845521535Z,1.10351,1.10351,1.10351,1.10351,
2020-01-30T20:41:42.511961749Z,1.103525,1.10355,1.103525,1.10355,
2020-01-30T20:41:46.466460902Z,1.10355,1.103575,1.10355,1.103575,
2020-01-30T20:41:52.585825064Z,1.10356,1.10356,1.10356,1.10356,
2020-01-30T20:41:59.747566043Z,1.10356,1.103595,1.10356,1.103595,
2020-01-30T20:42:10.265673405Z,1.103595,1.103595,1.10358,1.10358,
2020-01-30T20:42:21.166008675Z,1.103565,1.103565,1.103545,1.103545,
2020-01-30T20:42:27.234866744Z,1.103545,1.103555,1.103545,1.103555,
2020-01-30T20:42:32.285939948Z,1.103555,1.103555,1.103555,1.103555,
2020-01-30T20:42:37.089119669Z,1.103555,1.1036,1.103555,1.1036,
2020-01-30T20:42:42.061685725Z,1.10359,1.1036,1.10359,1.1036,
2020-01-30T20:42:47.454248842Z,1.1036,1.1036,1.10359,1.10359,
2020-01-30T20:43:23.272392769Z,1.10349,1.10351,1.10349,1.1035,
2020-01-30T20:43:26.509006828Z,1.1035,1.1035,1.1035,1.1035,
2020-01-30T20:43:33.220348856Z,1.1035,1.1035,1.1035,1.1035,
2020-01-30T20:43:39.567237707Z,1.1035,1.1035,1.1035,1.1035,
2020-01-30T20:43:43.935727990Z,1.10349,1.1035,1.10349,1.10349,
2020-01-30T20:43:50.346298988Z,1.10349,1.1035,1.10349,1.1035,
2020-01-30T20:43:54.767191295Z,1.1035,1.1035,1.10349,1.1035,
2020-01-30T20:44:00.794752080Z,1.10349,1.10349,1.10349,1.10349,
2020-01-30T20:44:05.941320221Z,1.10349,1.1035,1.10349,1.1035,
2020-01-30T20:44:14.690363529Z,1.1035,1.1035,1.1035,1.1035,
2020-01-30T20:44:19.915262559Z,1.1035,1.10356,1.103485,1.10356,
2020-01-30T20:44:25.257961196Z,1.10356,1.10356,1.10356,1.10356,
2020-01-30T20:44:30.582475589Z,1.10356,1.10356,1.10356,1.10356,
2020-01-30T20:44:36.783409924Z,1.10356,1.10356,1.10355,1.10355,
2020-01-30T20:44:40.994550107Z,1.10355,1.103565,1.103545,1.103565,
2020-01-30T20:44:45.130248346Z,1.103555,1.103565,1.103555,1.103565,
2020-01-30T20:44:53.248274284Z,1.103555,1.103565,1.103555,1.103555,
2020-01-30T20:44:58.266883518Z,1.103555,1.103565,1.103555,1.103565,
