date,o,h,l,c
2020-01-10 15:36:00,1.11098,1.111075,1.11087,1.11107
2020-01-10 15:37:00,1.111075,1.1110799999999998,1.1109200000000001,1.11101
2020-01-10 15:38:00,1.11114,1.11127,1.111005,1.11127
2020-01-10 15:39:00,1.11145,1.1116350000000002,1.111265,1.11155
2020-01-10 15:40:00,1.111555,1.1115650000000001,1.111275,1.11132
2020-01-10 15:41:00,1.11132,1.11132,1.111165,1.1112449999999998
2020-01-10 15:42:00,1.1112549999999999,1.111265,1.111145,1.111145
2020-01-10 15:43:00,1.111195,1.1112449999999998,1.111115,1.1112
2020-01-10 15:44:00,1.111275,1.1113650000000002,1.111175,1.11124
2020-01-10 15:45:00,1.11138,1.1115149999999998,1.11124,1.1114350000000002
2020-01-10 15:46:00,1.1114600000000001,1.111475,1.111325,1.111335
2020-01-10 15:47:00,1.111355,1.111375,1.1112600000000001,1.1113149999999998
2020-01-10 15:48:00,1.1113499999999998,1.1113849999999998,1.1112600000000001,1.1113650000000002
2020-01-10 15:49:00,1.11144,1.1115149999999998,1.111335,1.1114899999999999
2020-01-10 15:50:00,1.111635,1.11178,1.11145,1.11174
2020-01-10 15:51:00,1.11175,1.1117599999999999,1.111445,1.111445
2020-01-10 15:52:00,1.1115,1.11155,1.11144,1.11145
2020-01-10 15:53:00,1.11156,1.1116700000000002,1.1114199999999999,1.111625
2020-01-10 15:54:00,1.111625,1.111625,1.11147,1.111555
2020-01-10 15:55:00,1.111555,1.111555,1.111395,1.1115
2020-01-10 15:56:00,1.1114950000000001,1.1114950000000001,1.1113149999999998,1.111345
2020-01-10 15:57:00,1.11137,1.111385,1.1112950000000001,1.11132
2020-01-10 15:58:00,1.111405,1.11148,1.1113,1.11131
2020-01-10 15:59:00,1.11141,1.11151,1.11124,1.111285
2020-01-10 16:00:00,1.111355,1.1114350000000002,1.111215,1.11124
2020-01-10 16:01:00,1.111265,1.111275,1.111135,1.111215
2020-01-10 16:02:00,1.1112549999999999,1.111285,1.111125,1.11124
2020-01-10 16:03:00,1.1112549999999999,1.111285,1.111145,1.11128
2020-01-10 16:04:00,1.111315,1.1113499999999998,1.111215,1.1113300000000002
2020-01-10 16:05:00,1.11137,1.1114,1.11124,1.111285
2020-01-10 16:06:00,1.1112950000000001,1.11131,1.11111,1.11124
2020-01-10 16:07:00,1.11127,1.1112950000000001,1.11114,1.111145
2020-01-10 16:08:00,1.11123,1.111305,1.1111399999999998,1.111275
2020-01-10 16:09:00,1.111285,1.1112950000000001,1.111185,1.11128
2020-01-10 16:10:00,1.111285,1.1112950000000001,1.111235,1.1112449999999998
2020-01-10 16:11:00,1.1112449999999998,1.1112449999999998,1.111175,1.1112199999999999
2020-01-10 16:12:00,1.1112199999999999,1.1112250000000001,1.11111,1.11117
2020-01-10 16:13:00,1.1112,1.111225,1.111135,1.11121
2020-01-10 16:14:00,1.11127,1.111345,1.111175,1.111335
2020-01-10 16:15:00,1.111395,1.11145,1.1113,1.111415
2020-01-10 16:16:00,1.11148,1.11155,1.11138,1.11155
2020-01-10 16:17:00,1.111605,1.111665,1.111545,1.11165
2020-01-10 16:18:00,1.11167,1.11168,1.11161,1.11161
2020-01-10 16:19:00,1.11165,1.1117,1.11152,1.11165
2020-01-10 16:20:00,1.111705,1.11175,1.111615,1.111725
2020-01-10 16:21:00,1.1117650000000001,1.1118000000000001,1.111675,1.11172
2020-01-10 16:22:00,1.1117750000000002,1.1118350000000001,1.1117050000000002,1.111755
2020-01-10 16:23:00,1.1117599999999999,1.1117650000000001,1.11168,1.111715
2020-01-10 16:24:00,1.11177,1.11182,1.111715,1.111755
2020-01-10 16:25:00,1.1117499999999998,1.1117499999999998,1.11167,1.11171
